"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H07285","Câu lạc bộ Thể dục Thể hình Elite Fitness Thảo Điền","0287 3039 888","Tầng 3, Vincom Mega Mall, An Phú, Quận 2, Hồ Chí Minh","Thứ Hai - Thứ Sáu: 06:00 - 22:00
Thứ Bảy, Chủ Nhật: 07:00 - 20:00","","Cuối năm 2015, Vincom Mega Mall đầu tiên ở thành phố Hồ Chí Minh khai trương tại Thảo Điền – nơi được mệnh danh là “Quận Nhất mới” của Sài Gòn. Vincom Mega Mall Thảo Điền phát triển theo mô hình siêu trung tâm thương mại “tất cả trong một” với tổng diện tích lên đến100.000m2. Tọa lạc tại tầng 3 khu trung tâm thương mại sang trọng này, Elite Thảo Điền hứa hẹn sẽ mang đến cho cư dân khu Đông thành phố mang tên Bác một trải nghiệm khác biệt về không gian, thiết bị luyện tập và chất lượng dịch vụ.","","DB000000, DB000001, DB000002, DB000003, DB000004, DB000005, DB000006, DB000007, DB000008, DB000009, DB000010, DB000011, DB000012, DB000013","K30","T04","H07285.jpg",
"H07286","Trung tâm Thể dục Thẩm mỹ Vóc Dáng Hoàn Hảo - Cơ sở 1","0283 9915 667","14C Đặng Văn Ngữ, 10, Phú Nhuận, Hồ Chí Minh","","","Trung tâm thể dục thẩm mỹ Vóc Dáng Hoàn Hảo thuộc công ty Trách nhiệm hữu hạn Perfect Shape (PERS Co. Ltd.) được thành lập vào ngày 05 tháng 06 năm 2012, cấp phép bởi phòng kinh doanh – Sở kế hoạch đầu tư. Pers Co. mang đến cho khách hàng các lớp thể dục thẩm mỹ để chăm sóc sức khoẻ và vóc dáng cho chị em phụ nữ ở mọi lứa tuồi, bao gồm các lớp tập yoga, aerobic, khiêu vũ thể thao, các điệu nhảy bollywood, zumba, múa bụng, nhảy hiện đại (vui lòng xem danh mục sản phẩm để biết thêm chi tiết về môn học và lịch tập). Các môn thể thao đều được dạy bởi đội ngũ giáo viên trẻ, lành nghề, và đầy nhiệt huyết, có bằng cấp chuyên môn và kinh nghiệm nhiều năm trong nghành.","Yoga, Aerobic, Nhảy hiện đại, Belly dance, Bollywood dance, Zumba dance, Dance sport, Sexy dance","DB000014, DB000015, DB000016, DB000017, DB000018, DB000019, DB000020","K30","T04","H07286.jpg",
"H07287","Câu lạc bộ Thể dục Thể thao Trần Hưng Đạo","0283 8369 527","257 Trần Hưng Đạo, Cô Giang, Quận 1, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 05:00 - 19:00","","Câu lạc bộ thể dục Trần Hưng Đạo còn là nơi đào tạo, huấn luyện năng khiếu các môn thể dục như: thể dục dụng cụ, thể dục nghệ thuật, thể dục nhào lộn, aerobic, thể dục thẩm mỹ nữ và thể dục dưỡng sinh, tổ chức tập huấn, mở lớp huấn luyện viên, hướng dẫn viên và trọng tài các môn thể dục. Câu lạc bộ thể dục Trần Hưng Đạo là trụ sở của Liên đoàn thể dục và các hội thể dục như: hội thể dục thẩm mỹ, hội thể dục dưỡng sinh, hộI aerobic và hội thể dục thi đấu (thể dục dụng cụ, thể dục nghệ thuật, thể dục nhào lộn). Phòng tập rộng thoáng mát, đội ngũ huấn luyện viên nhiệt tình được đào tạo chính quy và có nhiều năm kinh nghiệm huấn luyện.","Thể dục dụng cụ, Thể dục nghệ thuật, Thể dục nhào lộn, Thể dục thẩm mỹ, Thể hình, Thể dục dưỡng sinh","","K30","T04","H07287.jpg",
"H07288","Army Fitness & Yoga - Cơ sở Từ Sơn","094 139 58 85","Lô A82 - A83 Lê Quang Đạo, Từ Sơn, Từ Sơn, Bắc Ninh","","","Ra đời từ năm 2014, Army Fitness đã từng khẳng định danh tiếng và vị thế của mình là hệ thống câu lạc bộ thể dục thể thao hàng đầu tại Hà Nội. Mỗi câu lạc bộ mang một phong cách riêng và được thiết kế nhằm mang đến cho các hội viên một môi trường tập luyện đẳng cấp với phòng tập rộng rãi, trang thiết bị tối tân và các khu vực chức năng phong phú. Các chương trình học nhóm với bản quyền quốc tế, cùng đội ngũ huấn luyện viên chuyên nghiệp tự hào mang đến cho cho quý hội viên một chất lượng dịch vụ hàng đầu. Với không gian tập Gym với trang thiết bị hiện đại nhập khẩu từ Mỹ.","Group Fitness, Giảm căng cơ, Dance, Yoga, Kickfit - MMA","","K30","T04","H07288.jpg",
"H07289","Golden wellness Fitness & Spa","090 345 20 15","Tầng 4 tòa Golden Palace, Mễ Trì, Mễ Trì, Nam Từ Liêm, Hà Nội","Thứ Hai - Chủ Nhật: 06:00 - 20:15","","Golden Wellness được thành lập năm 2015 với niềm khát vọng đem đến những điều kiện về chăm sóc sức khỏe tốt nhất cho khách hàng. Với  sứ mệnh “Giúp cuộc sống trở nên cân bằng hơn”, Golden Wellness không chỉ đơn thuần là địa điểm tập luyện lý tưởng mà đó còn là tổ hợp chăm sóc sức khỏe, sắc đẹp tạo nên sức sống mới và sự cân bằng trong cuộc sống.","Golden Fitness, Golden Pool, Golden Spa, Golden Bar, Golden Shop, Golden Salon","DB000021, DB000022, DB000023, DB000024, DB000025, DB000026, DB000027, DB000028, DB000029, DB000030, DB000031, DB000032, DB000033","K30","T04","H07289.jpg",
"H07290","Fit24 Fitness & Yoga Center - Cơ sở Hồ Xuân Hương","0283 9352 424","02 Hồ Xuân Hương, 6, Quận 3, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 06:00 - 22:00","","Bắt nguồn từ tập đoàn EuroFit (có trụ sở tại Đức) với kinh nghiệm lâu đời trong lĩnh vực thể dục thể thao, Fit24 là cái tên mới ở thị trường Việt Nam. Năm 2012 là năm đánh dấu sự ra đời của Fit24 tại Việt Nam, Với diện tích hơn 2500 m2 nằm ở Lầu 2 Thiên Sơn plaza, 800 Nguyễn Văn Linh, quận 7, Thành phố Hồ Chí Minh. Kể từ đây, khởi đầu 1 chặng đường mới, kế thừa những gì mà EuroFit đã đạt được, phát huy những giá trị mới phù hợp với thị trường Việt Nam.","Personal Trainer, Group X, Yoga, Les Mills","DB000034, DB000035, DB000036, DB000037, DB000038, DB000039, DB000040, DB000041, DB000042, DB000043, DB000044, DB000045, DB000046, DB000047, DB000048, DB000049, DB000050, DB000051, DB000052, DB000053, DB000054, DB000055, DB000056, DB000057, DB000058","K30","T04","H07290.jpg",
"H07291","S Fitness - Chi nhánh I","08 6279 8333","221 Nguyễn Văn Cừ, 4, Quận 5, Hồ Chí Minh","Thứ Hai - Thứ Bảy: 05:30 - 21:30
Chủ Nhật: 06:00 - 18:00","","Với mong muốn mang đến cho khách hàng một vóc dáng cân đối, khỏe mạnh, S-Fitness đã ra đời với đội ngũ huấn huyện viên nhiệt tình, giàu kinh nghiệm cùng trang thiết bị hiện đại, nhằm tạo cơ hội cho khách hàng tiếp cận với những phương pháp tập luyện khoa học và tiến bộ. Huấn luyện viên cá nhân (Personal Trainer) S-Fitness sẽ cùng khách hàng thiết lập chương trình tập luyện riêng phù hợp với thời gian, thể trạng, cũng như mục tiêu của từng cá nhân khách hàng đó.","","","K30","T04","H07291.jpg",
"H07292","Câu lạc bộ Golden Gym - Sân vận động Bách Khoa","0243 8634 577","255 - 257 Bạch Mai, Thanh Nhàn, Hai Bà Trưng, Hà Nội","","","Câu lạc bộ Golden Gym - Sân vận động Bách Khoa nhà văn hóa Hai Bà Trưng có đầy đủ máy móc, trang thiết bị dành riêng cho môn thê hình. Các khu vực tập luyện và dịch vụ được bố trí riêng biệt nhưng liền mạch giúp hội viên thuận tiện trong việc kết hợp bài tập và thoải mái di chuyển trong câu lạc bộ.","Thể hình","","K30","T04","H07292.jpg",
"H07293","Gym Tài Nguyên Lê Trọng Tấn","023862676039","384 Lê Trọng Tấn, Tây Thạnh, Tân Phú, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 08:00 - 21:00","","Hiện nay để đáp ứng cho thị trường trong và ngoài nước, công ty đang mở rộng nhà máy sản xuất với diện tích 12.000 m2 ở xã Trung Lập Thượng,Huyện, Củ Chi. Tổng số vốn đầu tư lên đến hơn 25 tỷ đồng. Với đầy đủ các thiết bị hiện đại, đảm bảo chất lượng không thua kém mà còn vượt trội hơn so với các nhà sản xuất danh tiếng trên thế giới mà giá thành phù hợp nhằm giúp các nhà đầu tư kinh doanh phòng tập thể hình (phòng Gym) trong nước được trang bị đầy đủ các máy chất lượng cao, hiện đại nhất với một mức giá phải chăng...","","","K30","T04","H07293.jpg",
"H07294","SS Club Fitness & Yoga Center","093 239 65 96","Tòa nhà thương mại Trung Đô Tower đại lộ V.I.Lenin, Hưng Dũng, Vinh, Nghệ An","Thứ Hai - Chủ Nhật: 05:30 - 21:30","","SS Club Fitness & Yoga center là hệ thống tổ hợp thể dục thể thao cao cấp đạt tiêu chuẩn 4 sao, đã có mặt tại 3 thành phố Hà Nội, Thanh Hóa, Việt Trì và nay tiếp tục là thành phố Vinh xinh đẹp. 
SS Club Fitness & Yoga Center cung cấp tất cả các dịch vụ Gym, Yoga, Group X. Khu vực tắm, xông hơi với nội thất cao cấp, sang trọng. Môi trường tập luyện chuyên nghiệp với diện tích hơn 1000 m2 đảm bảo sẽ vừa lòng ngay cả những khách hàng khó tính nhất. Đội ngũ nhân viên thân thiện, nhiệt tình. 
Với khẩu hiệu  Sức khỏe của bạn là trách nhiệm của chúng tôi , SS Club sẽ luôn là người bạn đồng hành với những ai đã, đang và sẽ quan tâm đến sức khỏe bản thân, yêu cái đẹp và mong muốn một vóc dáng cân đối, hoàn mĩ.","Gym, Yoga, Group X","DB000059, DB000060, DB000061, DB000062, DB000063, DB000064","K30","T04","H07294.jpg",
