"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H14570","Khoa Hồi sức cấp cứu - Bệnh viện Phong - Da liễu Trung ương Quy Hòa","0256 3747 999","Ghềnh Ráng, Ghềnh Ráng, Quy Nhơn, Bình Định","","","","","","K14, K05","T05","H14570.jpg",
"H14571","Khoa Liên chuyên khoa - Bệnh viện Đa khoa thị xã Sa Đéc","0277 3770 263","153 Nguyễn Sinh Sắc, 2, Sa Đéc, Đồng Tháp","","","","","","K24, K26, K20","T05","H14571.jpg",
"H14572","Khoa Ngoại - Phụ - Bệnh viện Y học cổ truyền tỉnh Hòa Bình","0218 3857 644","Đồng Tiến, Đồng Tiến, Hòa Bình, Hòa Bình","","","","","",", K40","T05","H14572.jpg",
"H14573","Khoa Phụ sản - Bệnh viện Đa khoa Dầu Giây","0251 3767 474","Bàu hàm II, Quang Trung, Thống Nhất, Đồng Nai","","","","","","K25","T05","H14573.jpg",
"H14574","Khoa Ung bướu - Bệnh viện Đa khoa tỉnh Nam Định","0228 3868 171","2 Trần Quốc Toản, Ngô Quyền, Nam Định, Nam Định","","","","","","K37","T05","",
"H14575","Khoa Phục hồi chức năng - Nhi - Bệnh viện Tâm thần tỉnh Thanh Hóa","0237 3954 430","217 Hải Thượng Lãn Ông, Quảng Thắng, Hậu Lộc, Thanh Hóa","","","","","","K38, K21","T05","H14575.jpg",
"H14576","Khoa Phục hồi chức năng - Bệnh viện Y học cổ truyền Đồng Tháp","","78 đường 30/4, 1, Cao Lãnh, Đồng Tháp","","","","","DC000000","K40, K38","T05","",
"H14577","Khoa Lao - HIV - Kháng thuốc - Bệnh viện Lao và Bệnh phổi tỉnh Lạng Sơn","0205 3876 576","Nà Pàn, Song Giáp, Hoàng Đồng, Lạng Sơn, Lạng Sơn","","","Khoa Lao - HIV - Kháng thuốc có nhiệm vụ điều trị cho người mắc Lao theo đúng quy định, hướng dẫn bệnh nhân giữ gìn sức khoẻ tiếp tục điều trị đúng liều, đều đặn, đủ thời gian và tự giác phòng chống lây lan mầm bệnh tại gia đình và cộng đồng, chống lây chéo trong khoa.","","","K13, K36","T05","",
"H14578","Khoa Nội Tổng hợp - Bệnh viện Đa khoa tỉnh Nam Định","0228 3868 171","2 Trần Quốc Toản, Ngô Quyền, Nam Định, Nam Định","","","","","","","T05","",
"H14579","Khoa Ung bướu - Phòng khám Đa khoa Hà Nội - Bắc Giang","0240 6252 568","9 Nguyễn Thị Lưu, Trần Phú, Bắc Giang, Bắc Giang","Thứ Hai - Chủ Nhật: 07:00 - 17:00","","","","","K37","T05","H14579.jpg",
